YMD,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,TMP_2,DEW_2,RH,AT mean,AT max
1/27/1990,NOI BAI,21.22,105.81,1990,1,27,18.075,14.475,79.875,15.5350175,18.25782
1/28/1990,NOI BAI,21.22,105.81,1990,1,28,18.4,15.48888889,83.33333333,15.87358,18.97963
1/29/1990,NOI BAI,21.22,105.81,1990,1,29,19.18571429,17.45714286,89.85714286,16.68469429,19.39559
1/30/1990,NOI BAI,21.22,105.81,1990,1,30,19.175,17.825,92,16.6796725,17.30819
1/31/1990,NOI BAI,21.22,105.81,1990,1,31,15.36666667,8.877777778,67.33333333,12.75729667,21.37135
2/1/1990,NOI BAI,21.22,105.81,1990,2,1,11,2.4,55.66666667,8.31772,10.3149
2/2/1990,NOI BAI,21.22,105.81,1990,2,2,10.975,8.9,87,8.39232,9.22308
2/3/1990,NOI BAI,21.22,105.81,1990,2,3,12.23333333,7.183333333,73.33333333,9.616838333,12.11945
2/4/1990,NOI BAI,21.22,105.81,1990,2,4,12.91428571,6.828571429,67.57142857,10.28827714,11.61939
2/5/1990,NOI BAI,21.22,105.81,1990,2,5,11.725,10.325,91.25,9.1596225,10.14216
2/6/1990,NOI BAI,21.22,105.81,1990,2,6,12.61428571,10.7,89.28571429,10.04931,16.91054
2/7/1990,NOI BAI,21.22,105.81,1990,2,7,14.34,12.94,91.4,11.798942,13.2664
2/8/1990,NOI BAI,21.22,105.81,1990,2,8,16.7,15.84,94.6,14.189152,14.99904
2/9/1990,NOI BAI,21.22,105.81,1990,2,9,19.3,18.2,93.5,16.80966,18.10951
2/10/1990,NOI BAI,21.22,105.81,1990,2,10,20.31428571,18.75714286,90.85714286,17.82638429,20.40642
2/11/1990,NOI BAI,21.22,105.81,1990,2,11,18.92857143,15.62857143,81.57142857,16.40111714,16.8066
2/12/1990,NOI BAI,21.22,105.81,1990,2,12,19.73333333,15.68333333,77.83333333,17.20188833,19.56991
2/13/1990,NOI BAI,21.22,105.81,1990,2,13,20.325,18.25,88,17.829275,19.21362
2/14/1990,NOI BAI,21.22,105.81,1990,2,14,23.5,20.96666667,86.33333333,21.02679,22.8624
2/15/1990,NOI BAI,21.22,105.81,1990,2,15,22.41666667,21.03333333,92,19.95097667,20.92943
2/16/1990,NOI BAI,21.22,105.81,1990,2,16,22.11666667,20.81666667,92.33333333,19.64946167,20.53489
2/17/1990,NOI BAI,21.22,105.81,1990,2,17,23.35,20.4875,85,20.87035875,25.50489
2/18/1990,NOI BAI,21.22,105.81,1990,2,18,23.95714286,19.77142857,79.28571429,21.46290286,23.9252
2/19/1990,NOI BAI,21.22,105.81,1990,2,19,22.7875,21.3375,91.625,20.32423875,21.93567
2/20/1990,NOI BAI,21.22,105.81,1990,2,20,24.7,21.86666667,84.83333333,22.23336,25.12565
2/21/1990,NOI BAI,21.22,105.81,1990,2,21,23.51428571,21.52857143,89,21.04958714,23.92979
2/22/1990,NOI BAI,21.22,105.81,1990,2,22,25.53333333,18.73333333,67.66666667,23.01375333,26.49889
2/23/1990,NOI BAI,21.22,105.81,1990,2,23,20.7125,17.7375,83.25,18.20660875,20.6297
2/24/1990,NOI BAI,21.22,105.81,1990,2,24,14.775,11.45,80.5,12.208535,12.93913
2/25/1990,NOI BAI,21.22,105.81,1990,2,25,12.37142857,9.685714286,83.71428571,9.792391429,10.43577
2/26/1990,NOI BAI,21.22,105.81,1990,2,26,11.6,8.983333333,84.33333333,9.014845,10.12992
2/27/1990,NOI BAI,21.22,105.81,1990,2,27,14.43333333,11.5,82.66666667,11.86968333,12.1424
